AUTO_NUM,CD_CC9,CD_CRP,CD_DMU,CD_ETA,CD_GHU,CD_SHI,CD_TYPE_ACT,CD_UGC,CD_UGL,Année,Trimestre,Mois,Jour,Année,Trimestre,Mois,Jour,Année,Trimestre,Mois,Jour,Année,Trimestre,Mois,Jour,FL_ACTIF,FL_OF,LB_CC9,LB_CRP,LB_DMU,LB_ETA,LB_GHU,LB_TYPE_ACT,LB_UGC,LB_UGL,SOURCE
47,92212604,H,702,005,NUP,NON,26,2291,0057022291,1996,Qtr 2,juin,1,,,,,1996,Qtr 2,juin,1,2025,Qtr 4,octobre,13,O,O,HEMATOCYTOLOGIE,CRPP,BIOGE'M,HOPITAL BEAUJON,NORD,ANALYSES BIOLOGIQUES,LABO HEMATO,LABO HEMATO,ldz_structure
48,92212620,H,702,005,NUP,NON,26,2301,0057022301,2023,Qtr 4,novembre,9,,,,,2023,Qtr 4,novembre,9,2025,Qtr 4,octobre,13,N,O,HEMOSTASE,CRPP,BIOGE'M,HOPITAL BEAUJON,NORD,ANALYSES BIOLOGIQUES,HEMOSTASE CLINIQUE,HEMOSTASE CLINIQUE,ldz_structure
49,92212530,H,702,005,NUP,NON,26,2391,0057022391,1996,Qtr 2,juin,1,,,,,1996,Qtr 2,juin,1,2025,Qtr 4,octobre,13,O,O,BACTERIOLOGIE,CRPP,BIOGE'M,HOPITAL BEAUJON,NORD,ANALYSES BIOLOGIQUES,LABO BACTERIO,LABO BACTERIO,ldz_structure
50,92212530,H,702,005,NUP,NON,26,2392,0057022392,2022,Qtr 3,septembre,20,,,,,2022,Qtr 3,septembre,20,2025,Qtr 4,octobre,13,N,O,BACTERIOLOGIE,CRPP,BIOGE'M,HOPITAL BEAUJON,NORD,ANALYSES BIOLOGIQUES,GENOMIQUE BACT,GENOMIQUE BACT,ldz_structure
51,92455000,H,702,005,NUP,NON,26,2394,0057022394,2016,Qtr 4,novembre,3,,,,,2016,Qtr 4,novembre,3,2025,Qtr 4,octobre,13,N,O,LABORATOIRE D'HYGIENE HOSPITALIERE,CRPP,BIOGE'M,HOPITAL BEAUJON,NORD,ANALYSES BIOLOGIQUES,MICROBIO ENVIRO,MICROBIO ENVIRO,ldz_structure
52,92210008,H,702,005,NUP,NON,26,5650,0057025650,1996,Qtr 4,octobre,7,,,,,1996,Qtr 4,octobre,7,2025,Qtr 4,octobre,13,O,O,ACCUEIL COMMUN DE BIOLOGIE,CRPP,BIOGE'M,HOPITAL BEAUJON,NORD,ANALYSES BIOLOGIQUES,ACCUEILPREANA COMMUN,ACCUEILPREANA COMMUN,ldz_structure
53,92000003,H,703,005,NUP,NON,01,0102,0057030102,2011,Qtr 3,août,25,,,,,2011,Qtr 3,août,25,2025,Qtr 4,octobre,13,O,O,ADMINISTRATION DU POLE,CRPP,DREAM,HOPITAL BEAUJON,NORD,ADMINISTRATION,DMU IMAGE ET FONCTIO,DMU IMAGE ET FONCTIO,ldz_structure
54,92230040,H,703,005,NUP,NON,32,1931,0057031931,2008,Qtr 1,janvier,1,,,,,2008,Qtr 1,janvier,1,2025,Qtr 4,octobre,13,N,O,SCANOGRAPHIE,CRPP,DREAM,HOPITAL BEAUJON,NORD,IMAGERIE MEDICALE,SCANNER,SCANNER,ldz_structure
55,92233000,H,703,005,NUP,NON,32,1941,0057031941,2008,Qtr 1,janvier,1,,,,,2008,Qtr 1,janvier,1,2025,Qtr 4,octobre,13,N,O,IMAGERIE RESONNANCE MAGNETIQUE,CRPP,DREAM,HOPITAL BEAUJON,NORD,IMAGERIE MEDICALE,IRM,IRM,ldz_structure
56,92233000,H,703,005,NUP,NON,32,1942,0057031942,2018,Qtr 2,juin,19,,,,,2018,Qtr 2,juin,19,2025,Qtr 4,octobre,13,N,O,IMAGERIE RESONNANCE MAGNETIQUE,CRPP,DREAM,HOPITAL BEAUJON,NORD,IMAGERIE MEDICALE,IRM GCS,IRM GCS,ldz_structure
57,92234200,H,703,005,NUP,NON,32,1951,0057031951,2008,Qtr 1,janvier,1,,,,,2008,Qtr 1,janvier,1,2025,Qtr 4,octobre,13,N,O,RADIO INTERVENTIONNELLE VASCULAIRE,CRPP,DREAM,HOPITAL BEAUJON,NORD,IMAGERIE MEDICALE,RADIO INTERV.VASC.,RADIO INTERV.VASC.,ldz_structure
58,92231020,H,703,005,NUP,NON,32,1961,0057031961,2008,Qtr 1,janvier,1,,,,,2008,Qtr 1,janvier,1,2025,Qtr 4,octobre,13,N,O,ECHOGRAPHIE ABDOMINALE,CRPP,DREAM,HOPITAL BEAUJON,NORD,IMAGERIE MEDICALE,ECHOGRAPHIE,ECHOGRAPHIE,ldz_structure
59,92300010,H,703,005,NUP,NON,07,1971,0057031971,2008,Qtr 1,janvier,1,,,,,2008,Qtr 1,janvier,1,2025,Qtr 4,octobre,13,N,O,MEDECINE INTERNE,CRPP,DREAM,HOPITAL BEAUJON,NORD,CONSULTATIONS,CONSULT. RADIO,CONSULT. RADIO,ldz_structure
60,92230010,H,703,005,NUP,NON,32,1991,0057031991,1996,Qtr 2,juin,1,,,,,1996,Qtr 2,juin,1,2025,Qtr 4,octobre,13,O,O,RADIOLOGIE CONVENTIONNELLE,CRPP,DREAM,HOPITAL BEAUJON,NORD,IMAGERIE MEDICALE,RADIO. CONVENTIO.,RADIO. CONVENTIO.,ldz_structure
61,92302120,H,703,005,NUP,NON,04,1993,0057031993,2023,Qtr 3,septembre,12,,,,,2023,Qtr 3,septembre,12,2025,Qtr 4,octobre,13,N,O,HEPATO-GASTRO-ENTEROLOGIE,CRPP,DREAM,HOPITAL BEAUJON,NORD,HOSPITALISATION JOUR,HDJ HOPE,HDJ HOPE,ldz_structure
62,92300010,H,703,005,NUP,NON,80,1994,0057031994,2023,Qtr 4,octobre,9,,,,,2023,Qtr 4,octobre,9,2025,Qtr 4,octobre,13,N,O,MEDECINE INTERNE,CRPP,DREAM,HOPITAL BEAUJON,NORD,HOSPIT COMPL CONVENT,HC RADIO INTERV,HC RADIO INTERV,ldz_structure
63,92211010,H,703,005,NUP,NON,26,2191,0057032191,1996,Qtr 2,juin,1,,,,,1996,Qtr 2,juin,1,2025,Qtr 4,octobre,13,O,O,ANATOMIE ET CYTOLOGIE PATHOLOGIQUES,CRPP,DREAM,HOPITAL BEAUJON,NORD,ANALYSES BIOLOGIQUES,ANATOMO CYTO PATHO,ANATOMO CYTO PATHO,ldz_structure
64,92232000,H,703,005,NUP,NON,32,2991,0057032991,1996,Qtr 2,juin,1,,,,,1996,Qtr 2,juin,1,2025,Qtr 4,octobre,13,O,O,MEDECINE NUCLEAIRE,CRPP,DREAM,HOPITAL BEAUJON,NORD,IMAGERIE MEDICALE,MEDECINE NUCLEAIRE,MEDECINE NUCLEAIRE,ldz_structure
