CD_METIER,CD_METIER_FAMILLE,Somme de CD_METIER_NB_CAR,CD_METIER_SS_FAMILLE,CD_METIER_TENSION,Année,Trimestre,Mois,Jour,LB_METIER,LB_METIER_FAMILLE,LB_METIER_SS_FAMILLE,Somme de NB_MATRIC
20R304,20,6,20R,N,2024,Qtr 4,novembre,6,Technicien fluides médicaux,Ingénierie et maintenance techniques,Instal/Maint équipements thermique sani/fluid,28
20U300,20,6,20U,N,2024,Qtr 4,novembre,6,Encadrant maint équipt matér méca,Ingénierie et maintenance techniques,Maintenance matériel et équipement mécaniques,17
20U500,20,6,20U,N,2024,Qtr 4,novembre,6,Mécanicien de maintenance,Ingénierie et maintenance techniques,Maintenance matériel et équipement mécaniques,42
20UAA0,20,6,20U,N,2024,Qtr 4,novembre,6,Carrossier / Peintre carrossier,Ingénierie et maintenance techniques,Maintenance matériel et équipement mécaniques,6
20X100,20,6,20X,N,2024,Qtr 4,novembre,6,Encadrant espaces verts,Ingénierie et maintenance techniques,Espaces verts,16
20X200,20,6,20X,N,2024,Qtr 4,novembre,6,Agent d entretien des espaces verts,Ingénierie et maintenance techniques,Espaces verts,102
25F100,25,6,25F,N,2024,Qtr 4,novembre,6,Responsable des achats,Achat-Logistique,Achat,83
25F200,25,6,25F,N,2024,Qtr 4,novembre,6,Acheteur,Achat-Logistique,Achat,137
25F300,25,6,25F,N,2024,Qtr 4,novembre,6,Gestionnaire des marchés publics,Achat-Logistique,Achat,66
25F301,25,6,25F,N,2024,Qtr 4,novembre,6,Gestionnaire des travaux,Achat-Logistique,Achat,86
25F400,25,6,25F,N,2024,Qtr 4,novembre,6,Responsable des marchés publics,Achat-Logistique,Achat,30
25FAA0,25,6,25F,N,2024,Qtr 4,novembre,6,Expert en produits de santé,Achat-Logistique,Achat,52
25I100,25,6,25I,N,2024,Qtr 4,novembre,6,Responsable logistique,Achat-Logistique,Logistique générale,121
25I200,25,6,25I,N,2024,Qtr 4,novembre,6,Gestionnaire de stocks,Achat-Logistique,Logistique générale,876
25I201,25,6,25I,N,2024,Qtr 4,novembre,6,Gestionnaire de stocks cariste,Achat-Logistique,Logistique générale,65
25I300,25,6,25I,N,2024,Qtr 4,novembre,6,Agent de logistique,Achat-Logistique,Logistique générale,1529
25I302,25,6,25I,N,2024,Qtr 4,novembre,6,Conducteur livreur,Achat-Logistique,Logistique générale,190
25I303,25,6,25I,N,2024,Qtr 4,novembre,6,Agent de collecte des déchets,Achat-Logistique,Logistique générale,92
25I304,25,6,25I,N,2024,Qtr 4,novembre,6,Agent de logistique linge,Achat-Logistique,Logistique générale,275
25I305,25,6,25I,N,2024,Qtr 4,novembre,6,Coursier,Achat-Logistique,Logistique générale,386
25I307,25,6,25I,N,2024,Qtr 4,novembre,6,Conducteur transport de personnes,Achat-Logistique,Logistique générale,71
25I308,25,6,25I,N,2024,Qtr 4,novembre,6,Vaguemestre,Achat-Logistique,Logistique générale,149
25I309,25,6,25I,N,2024,Qtr 4,novembre,6,Chauffeur PL - SPL,Achat-Logistique,Logistique générale,15
25I400,25,6,25I,N,2024,Qtr 4,novembre,6,Encadrant logistique,Achat-Logistique,Logistique générale,119
25I401,25,6,25I,N,2024,Qtr 4,novembre,6,Encadrant gestion des déchets,Achat-Logistique,Logistique générale,12
25I402,25,6,25I,N,2024,Qtr 4,novembre,6,Encadrant magasin,Achat-Logistique,Logistique générale,104
25I403,25,6,25I,N,2024,Qtr 4,novembre,6,Encadrant transport,Achat-Logistique,Logistique générale,25
25IAA0,25,6,25I,N,2024,Qtr 4,novembre,6,Logisticien,Achat-Logistique,Logistique générale,595
25IAB0,25,6,25I,N,2024,Qtr 4,novembre,6,Régulateur des transports,Achat-Logistique,Logistique générale,100
25IAC0,25,6,25I,N,2024,Qtr 4,novembre,6,Imprimeur / Reprographe,Achat-Logistique,Logistique générale,37
25M100,25,6,25M,N,2024,Qtr 4,novembre,6,Responsable blanchisserie,Achat-Logistique,Blanchisserie - Linge,28
25M200,25,6,25M,N,2024,Qtr 4,novembre,6,Agent de blanchisserie,Achat-Logistique,Blanchisserie - Linge,442
25M300,25,6,25M,N,2024,Qtr 4,novembre,6,Lingère - couturière,Achat-Logistique,Blanchisserie - Linge,41
25M400,25,6,25M,N,2024,Qtr 4,novembre,6,Encadrant production blanchisserie,Achat-Logistique,Blanchisserie - Linge,33
25R100,25,6,25R,N,2024,Qtr 4,novembre,6,Encadrant production culinaire,Achat-Logistique,Restauration - Hôtellerie,113
25R200,25,6,25R,N,2024,Qtr 4,novembre,6,Cuisinier,Achat-Logistique,Restauration - Hôtellerie,402
25R203,25,6,25R,N,2024,Qtr 4,novembre,6,Agent de biberonnerie,Achat-Logistique,Restauration - Hôtellerie,152
25R204,25,6,25R,N,2024,Qtr 4,novembre,6,Agent de diététique,Achat-Logistique,Restauration - Hôtellerie,73
25R300,25,6,25R,N,2024,Qtr 4,novembre,6,Agent de restauration d hôtellerie,Achat-Logistique,Restauration - Hôtellerie,3200
25R400,25,6,25R,N,2024,Qtr 4,novembre,6,Conseiller hôtelier,Achat-Logistique,Restauration - Hôtellerie,59
25R500,25,6,25R,N,2024,Qtr 4,novembre,6,Maîtresse de maison,Achat-Logistique,Restauration - Hôtellerie,12
25R700,25,6,25R,N,2024,Qtr 4,novembre,6,Responsable restauration,Achat-Logistique,Restauration - Hôtellerie,155
25R800,25,6,25R,N,2024,Qtr 4,novembre,6,Responsable hôtelier,Achat-Logistique,Restauration - Hôtellerie,16
30C100,30,6,30C,N,2024,Qtr 4,novembre,6,Coordinateur qualité/gestion risque,"Qualité, hygiène, sécurité, environnement",Qualité-Prévention et gestion des risques,125
30C101,30,6,30C,N,2024,Qtr 4,novembre,6,Responsable qualité,"Qualité, hygiène, sécurité, environnement",Qualité-Prévention et gestion des risques,149
30C102,30,6,30C,N,2024,Qtr 4,novembre,6,Responsable gestion des risques,"Qualité, hygiène, sécurité, environnement",Qualité-Prévention et gestion des risques,53
30C200,30,6,30C,N,2024,Qtr 4,novembre,6,Animateur qualité/gestion risques,"Qualité, hygiène, sécurité, environnement",Qualité-Prévention et gestion des risques,54
30C201,30,6,30C,N,2024,Qtr 4,novembre,6,Auditeur qualité interne,"Qualité, hygiène, sécurité, environnement",Qualité-Prévention et gestion des risques,16
30C400,30,6,30C,N,2024,Qtr 4,novembre,6,Chargé des relations usagers assoc,"Qualité, hygiène, sécurité, environnement",Qualité-Prévention et gestion des risques,120
30F100,30,6,30F,N,2024,Qtr 4,novembre,6,Hygiéniste,"Qualité, hygiène, sécurité, environnement",Hygiène,78
30F200,30,6,30F,N,2024,Qtr 4,novembre,6,Encadrant bio-nettoyage,"Qualité, hygiène, sécurité, environnement",Hygiène,58
30F300,30,6,30F,N,2024,Qtr 4,novembre,6,Agent de bio-nettoyage,"Qualité, hygiène, sécurité, environnement",Hygiène,852
30F400,30,6,30F,N,2024,Qtr 4,novembre,6,Encadrant de stérilisation,"Qualité, hygiène, sécurité, environnement",Hygiène,95
30F500,30,6,30F,N,2024,Qtr 4,novembre,6,Agent de stérilisation,"Qualité, hygiène, sécurité, environnement",Hygiène,952
30F800,30,6,30F,N,2024,Qtr 4,novembre,6,Bio-hygiéniste,"Qualité, hygiène, sécurité, environnement",Hygiène,15
30I100,30,6,30I,N,2024,Qtr 4,novembre,6,Conseiller prévention risques prof,"Qualité, hygiène, sécurité, environnement",Santé et sécurité au travail et environnement,127
30I300,30,6,30I,N,2024,Qtr 4,novembre,6,Conseiller environnemt dévt durable,"Qualité, hygiène, sécurité, environnement",Santé et sécurité au travail et environnement,48
30IAA0,30,6,30I,N,2024,Qtr 4,novembre,6,Médecin du travail,"Qualité, hygiène, sécurité, environnement",Santé et sécurité au travail et environnement,101
30L100,30,6,30L,N,2024,Qtr 4,novembre,6,Encadrant sécurité personnes biens,"Qualité, hygiène, sécurité, environnement",Sécurité des personnes et des biens,116
30L200,30,6,30L,N,2024,Qtr 4,novembre,6,Agent de sécurité incendie,"Qualité, hygiène, sécurité, environnement",Sécurité des personnes et des biens,229
30L201,30,6,30L,N,2024,Qtr 4,novembre,6,Chef d équipe de sécurité incendie,"Qualité, hygiène, sécurité, environnement",Sécurité des personnes et des biens,103
30L300,30,6,30L,N,2024,Qtr 4,novembre,6,Encadrant sécurité incendie,"Qualité, hygiène, sécurité, environnement",Sécurité des personnes et des biens,105
30L400,30,6,30L,N,2024,Qtr 4,novembre,6,Agent sécurité personnes et biens,"Qualité, hygiène, sécurité, environnement",Sécurité des personnes et des biens,73
30L401,30,6,30L,N,2024,Qtr 4,novembre,6,Chef équipe sécurité personnes bien,"Qualité, hygiène, sécurité, environnement",Sécurité des personnes et des biens,12
30L600,30,6,30L,N,2024,Qtr 4,novembre,6,Responsable de la sécurité,"Qualité, hygiène, sécurité, environnement",Sécurité des personnes et des biens,14
35F050,35,6,35F,N,2024,Qtr 4,novembre,6,Chargé applications informatiques,Systèmes d'information,Conception et intégration des applications,200
35F300,35,6,35F,N,2024,Qtr 4,novembre,6,Chef de projet informatique,Systèmes d'information,Conception et intégration des applications,446
35F301,35,6,35F,N,2024,Qtr 4,novembre,6,Chef projet informatiqu intégration,Systèmes d'information,Conception et intégration des applications,52
35F302,35,6,35F,N,2024,Qtr 4,novembre,6,Chef projet informatique conception,Systèmes d'information,Conception et intégration des applications,26
35F303,35,6,35F,N,2024,Qtr 4,novembre,6,Chef de projet informatique PGI,Systèmes d'information,Conception et intégration des applications,27
35FAA0,35,6,35F,N,2024,Qtr 4,novembre,6,Concepteur développeur informatique,Systèmes d'information,Conception et intégration des applications,78
35FAA1,35,6,35F,N,2024,Qtr 4,novembre,6,Intégrateur d applications,Systèmes d'information,Conception et intégration des applications,23
35FAA2,35,6,35F,N,2024,Qtr 4,novembre,6,Paramétreur PGI,Systèmes d'information,Conception et intégration des applications,9
35I100,35,6,35I,N,2024,Qtr 4,novembre,6,Architecte/Urbaniste du SI,Systèmes d'information,Expertise systèmes d'information,12
35I200,35,6,35I,N,2024,Qtr 4,novembre,6,Expert technique,Systèmes d'information,Expertise systèmes d'information,64
35I201,35,6,35I,N,2024,Qtr 4,novembre,6,Expert tech système exploitation SI,Systèmes d'information,Expertise systèmes d'information,24
35I202,35,6,35I,N,2024,Qtr 4,novembre,6,Expert technique Réseau Télécom SI,Systèmes d'information,Expertise systèmes d'information,12
35I203,35,6,35I,N,2024,Qtr 4,novembre,6,Expert tech Architecture service SI,Systèmes d'information,Expertise systèmes d'information,18
35I204,35,6,35I,N,2024,Qtr 4,novembre,6,Expert technique bases données SI,Systèmes d'information,Expertise systèmes d'information,4
35I300,35,6,35I,N,2024,Qtr 4,novembre,6,Responsable sécurité systèmes info,Systèmes d'information,Expertise systèmes d'information,10
35IAA0,35,6,35I,N,2024,Qtr 4,novembre,6,Resp pilotage portefeuil projets SI,Systèmes d'information,Expertise systèmes d'information,17
35IAB0,35,6,35I,N,2024,Qtr 4,novembre,6,Encadrant systèmes bases données SI,Systèmes d'information,Expertise systèmes d'information,2
35IAB1,35,6,35I,N,2024,Qtr 4,novembre,6,Responsable système base données SI,Systèmes d'information,Expertise systèmes d'information,8
35IAC0,35,6,35I,N,2024,Qtr 4,novembre,6,Expert méthode et qualité SI,Systèmes d'information,Expertise systèmes d'information,5
35IAD0,35,6,35I,N,2024,Qtr 4,novembre,6,Expert cyber sécurité SI,Systèmes d'information,Expertise systèmes d'information,9
35IAE0,35,6,35I,N,2024,Qtr 4,novembre,6,Ergonome designer SI,Systèmes d'information,Expertise systèmes d'information,2
35L300,35,6,35L,N,2024,Qtr 4,novembre,6,Intervenant support inf utilisateur,Systèmes d'information,Support et exploitation,119
35L301,35,6,35L,N,2024,Qtr 4,novembre,6,Intervenant utilisateurs technique,Systèmes d'information,Support et exploitation,13
35L302,35,6,35L,N,2024,Qtr 4,novembre,6,Intervenant utilisateurs applicatif,Systèmes d'information,Support et exploitation,30
35L303,35,6,35L,N,2024,Qtr 4,novembre,6,Intervenant utilisat poste travail,Systèmes d'information,Support et exploitation,225
35L305,35,6,35L,N,2024,Qtr 4,décembre,20,Technicien data center,Systèmes d'information,Support et exploitation,0
35L400,35,6,35L,N,2024,Qtr 4,novembre,6,Exploitant technique,Systèmes d'information,Support et exploitation,16
35L401,35,6,35L,N,2024,Qtr 4,novembre,6,Administrateur de systèmes,Systèmes d'information,Support et exploitation,110
35L402,35,6,35L,N,2024,Qtr 4,novembre,6,Analyste d exploitation,Systèmes d'information,Support et exploitation,31
35L403,35,6,35L,N,2024,Qtr 4,novembre,6,Technicien d exploitation,Systèmes d'information,Support et exploitation,31
35L404,35,6,35L,N,2024,Qtr 4,novembre,6,Administrateur de bases de données,Systèmes d'information,Support et exploitation,11
35L405,35,6,35L,N,2024,Qtr 4,novembre,6,Technicien réseau / Télécom,Systèmes d'information,Support et exploitation,61
35L406,35,6,35L,N,2024,Qtr 4,novembre,6,Administrateur réseau / Télécom,Systèmes d'information,Support et exploitation,48
35LAA0,35,6,35L,N,2024,Qtr 4,novembre,6,Encadrant production/pré-production,Systèmes d'information,Support et exploitation,7
35LAB0,35,6,35L,N,2024,Qtr 4,novembre,6,Encadrant réseau / Télécom,Systèmes d'information,Support et exploitation,22
35LAC0,35,6,35L,N,2024,Qtr 4,novembre,6,Encadrant poste de travail /Support,Systèmes d'information,Support et exploitation,54
35LAD0,35,6,35L,N,2024,Qtr 4,novembre,6,Gestionnaire des incidents SI,Systèmes d'information,Support et exploitation,9
40F100,40,6,40F,N,2024,Qtr 4,novembre,6,Encadrant Accueil - Standard,"Analyse, traitement et gestion de l'info",Accueil et orientation des personnes,58
40F200,40,6,40F,N,2024,Qtr 4,novembre,6,Agent d accueil,"Analyse, traitement et gestion de l'info",Accueil et orientation des personnes,1244
40F201,40,6,40F,N,2024,Qtr 4,novembre,6,Standardiste,"Analyse, traitement et gestion de l'info",Accueil et orientation des personnes,506
40F300,40,6,40F,N,2024,Qtr 4,novembre,6,Assistant de régulation médicale,"Analyse, traitement et gestion de l'info",Accueil et orientation des personnes,1089
40F301,40,6,40F,N,2024,Qtr 4,novembre,6,Assist régulation méd superviseur,"Analyse, traitement et gestion de l'info",Accueil et orientation des personnes,5
40FAA0,40,6,40F,N,2024,Qtr 4,novembre,6,Chargé de rendez vous en santé,"Analyse, traitement et gestion de l'info",Accueil et orientation des personnes,1092
40L100,40,6,40L,N,2024,Qtr 4,novembre,6,Encadrant dépt information médicale,"Analyse, traitement et gestion de l'info",Gestion médico adminis traitement info médica,9
40L200,40,6,40L,N,2024,Qtr 4,novembre,6,Secrétaire médical,"Analyse, traitement et gestion de l'info",Gestion médico adminis traitement info médica,5421
40L300,40,6,40L,N,2024,Qtr 4,novembre,6,Encadrant des secrétariats médicaux,"Analyse, traitement et gestion de l'info",Gestion médico adminis traitement info médica,53
40L400,40,6,40L,O,2024,Qtr 4,novembre,6,Technicien d information médicale,"Analyse, traitement et gestion de l'info",Gestion médico adminis traitement info médica,274
40L500,40,6,40L,N,2024,Qtr 4,novembre,6,Analyste des données activités hosp,"Analyse, traitement et gestion de l'info",Gestion médico adminis traitement info médica,11
40L700,40,6,40L,N,2024,Qtr 4,novembre,6,Statisticien,"Analyse, traitement et gestion de l'info",Gestion médico adminis traitement info médica,25
40LAA0,40,6,40L,N,2024,Qtr 4,novembre,6,Chargé de la protection des données,"Analyse, traitement et gestion de l'info",Gestion médico adminis traitement info médica,16
40LAB0,40,6,40L,N,2024,Qtr 4,novembre,6,Data scientist,"Analyse, traitement et gestion de l'info",Gestion médico adminis traitement info médica,50
40LAC0,40,6,40L,N,2024,Qtr 4,novembre,6,Data manager,"Analyse, traitement et gestion de l'info",Gestion médico adminis traitement info médica,73
40M100,40,6,40M,N,2024,Qtr 4,novembre,6,Encadrant archives,"Analyse, traitement et gestion de l'info",Archivage et Documentation,35
40M200,40,6,40M,N,2024,Qtr 4,novembre,6,Archiviste,"Analyse, traitement et gestion de l'info",Archivage et Documentation,669
40M300,40,6,40M,N,2024,Qtr 4,novembre,6,Documentaliste,"Analyse, traitement et gestion de l'info",Archivage et Documentation,29
40M400,40,6,40M,N,2024,Qtr 4,novembre,6,Encadrant documentaliste,"Analyse, traitement et gestion de l'info",Archivage et Documentation,9
40M500,40,6,40M,N,2024,Qtr 4,novembre,6,Responsable archives,"Analyse, traitement et gestion de l'info",Archivage et Documentation,17
40M600,40,6,40M,N,2024,Qtr 4,novembre,6,Bibliothécaire - Médiathécaire,"Analyse, traitement et gestion de l'info",Archivage et Documentation,47
45C100,45,6,45C,N,2024,Qtr 4,novembre,6,Directeur logistique et achats,"Management, gestion et aide à la décision",Management stratégique,45
45C200,45,6,45C,N,2024,Qtr 4,novembre,6,Directeur des affaires juridiques,"Management, gestion et aide à la décision",Management stratégique,17
45C300,45,6,45C,N,2024,Qtr 4,novembre,6,Directeur des soins établissement,"Management, gestion et aide à la décision",Management stratégique,65
45C301,45,6,45C,N,2024,Qtr 4,novembre,6,Coordonnateur général des soins,"Management, gestion et aide à la décision",Management stratégique,29
45C350,45,6,45C,N,2024,Qtr 4,novembre,6,Directeur des finances,"Management, gestion et aide à la décision",Management stratégique,106
45C400,45,6,45C,N,2024,Qtr 4,novembre,6,Directeur soins institut formation,"Management, gestion et aide à la décision",Management stratégique,27
45C450,45,6,45C,N,2024,Qtr 4,novembre,6,Directeur des ressources humaines,"Management, gestion et aide à la décision",Management stratégique,104
45C550,45,6,45C,N,2024,Qtr 4,novembre,6,Directeur qualité risques usagers,"Management, gestion et aide à la décision",Management stratégique,39
45C600,45,6,45C,N,2024,Qtr 4,novembre,6,Directeur investissements maintenan,"Management, gestion et aide à la décision",Management stratégique,31
45C650,45,6,45C,N,2024,Qtr 4,novembre,6,Directeur aff médicales stratégie,"Management, gestion et aide à la décision",Management stratégique,62
45C700,45,6,45C,N,2024,Qtr 4,novembre,6,Directeur systèmes d information,"Management, gestion et aide à la décision",Management stratégique,43
45C701,45,6,45C,N,2024,Qtr 4,novembre,6,Directeur de projets informatiques,"Management, gestion et aide à la décision",Management stratégique,99
45C702,45,6,45C,N,2024,Qtr 4,novembre,6,Directeur technique informatique,"Management, gestion et aide à la décision",Management stratégique,18
45C750,45,6,45C,N,2024,Qtr 4,novembre,6,Directeur de la communication,"Management, gestion et aide à la décision",Management stratégique,13
45C800,45,6,45C,N,2024,Qtr 4,novembre,6,Directeur de Groupe Hospitalier,"Management, gestion et aide à la décision",Management stratégique,33
45C801,45,6,45C,N,2024,Qtr 4,novembre,6,Adjoint au directeur de GH,"Management, gestion et aide à la décision",Management stratégique,35
45C802,45,6,45C,N,2024,Qtr 4,novembre,6,Directeur de l inspection et audit,"Management, gestion et aide à la décision",Management stratégique,18
45C850,45,6,45C,N,2024,Qtr 4,novembre,6,Directeur de site - projets,"Management, gestion et aide à la décision",Management stratégique,225
45CAA0,45,6,45C,N,2024,Qtr 4,novembre,6,Directeur général,"Management, gestion et aide à la décision",Management stratégique,3
45CAB0,45,6,45C,N,2024,Qtr 4,novembre,6,Directeur général adjoint,"Management, gestion et aide à la décision",Management stratégique,8
45CAC0,45,6,45C,N,2024,Qtr 4,novembre,6,Directeur de cabinet,"Management, gestion et aide à la décision",Management stratégique,9
45CAD0,45,6,45C,N,2024,Qtr 4,novembre,6,Directeur des opérations,"Management, gestion et aide à la décision",Management stratégique,34
45F200,45,6,45F,N,2024,Qtr 4,novembre,6,Responsable des ressources humaines,"Management, gestion et aide à la décision",Ressources humaines,136
45F202,45,6,45F,N,2024,Qtr 4,novembre,6,Responsable ressources humaines méd,"Management, gestion et aide à la décision",Ressources humaines,36
45F300,45,6,45F,N,2024,Qtr 4,novembre,6,Chargé de la formation continue,"Management, gestion et aide à la décision",Ressources humaines,64
45F400,45,6,45F,N,2024,Qtr 4,novembre,6,Chargé du développement des RH,"Management, gestion et aide à la décision",Ressources humaines,142
45F401,45,6,45F,N,2024,Qtr 4,novembre,6,Spécialiste GPEC,"Management, gestion et aide à la décision",Ressources humaines,2
45F403,45,6,45F,N,2024,Qtr 4,novembre,6,Spé recrut mobilité parcours prof,"Management, gestion et aide à la décision",Ressources humaines,22
45F600,45,6,45F,N,2024,Qtr 4,novembre,6,Chargé des relations sociales,"Management, gestion et aide à la décision",Ressources humaines,73
45F700,45,6,45F,N,2024,Qtr 4,novembre,6,Gestionnaire ressources humaines,"Management, gestion et aide à la décision",Ressources humaines,148
45F701,45,6,45F,N,2024,Qtr 4,novembre,6,Gestionnaire paie/carrière,"Management, gestion et aide à la décision",Ressources humaines,897
45F702,45,6,45F,N,2024,Qtr 4,novembre,6,Gestionnaire retraite,"Management, gestion et aide à la décision",Ressources humaines,78
45F703,45,6,45F,N,2024,Qtr 4,novembre,6,Gestionnaire accidents travail/MP,"Management, gestion et aide à la décision",Ressources humaines,76
45F704,45,6,45F,N,2024,Qtr 4,novembre,6,Gestionnaire du temps de travail,"Management, gestion et aide à la décision",Ressources humaines,78
45F705,45,6,45F,N,2024,Qtr 4,novembre,6,"Gestionnaire recrutement, mobilité","Management, gestion et aide à la décision",Ressources humaines,71
45F706,45,6,45F,N,2024,Qtr 4,novembre,6,Assistant de formation,"Management, gestion et aide à la décision",Ressources humaines,168
45F707,45,6,45F,N,2024,Qtr 4,novembre,6,Gestionnaire des RH médicales,"Management, gestion et aide à la décision",Ressources humaines,216
45F750,45,6,45F,N,2024,Qtr 4,novembre,6,Encadrant gestion ressource humaine,"Management, gestion et aide à la décision",Ressources humaines,109
45F751,45,6,45F,N,2024,Qtr 4,novembre,6,Encadrant gestion RH médicales,"Management, gestion et aide à la décision",Ressources humaines,16
45I200,45,6,45I,N,2024,Qtr 4,novembre,6,Chargé de la trésorerie et dette,"Management, gestion et aide à la décision","Finances, comptabilité",10
45I300,45,6,45I,N,2024,Qtr 4,novembre,6,Responsable budgétaire et financier,"Management, gestion et aide à la décision","Finances, comptabilité",170
45I301,45,6,45I,N,2024,Qtr 4,novembre,6,Responsable admissions/frais séj/TE,"Management, gestion et aide à la décision","Finances, comptabilité",124
45I700,45,6,45I,N,2024,Qtr 4,novembre,6,Gestionnaire admission/frais séj/TE,"Management, gestion et aide à la décision","Finances, comptabilité",2235
45I800,45,6,45I,N,2024,Qtr 4,novembre,6,Gestionnaire comptable et achat,"Management, gestion et aide à la décision","Finances, comptabilité",820
45I900,45,6,45I,N,2024,Qtr 4,novembre,6,Gestionnaire finances,"Management, gestion et aide à la décision","Finances, comptabilité",113
45I901,45,6,45I,N,2024,Qtr 4,novembre,6,Gestionnaire régie,"Management, gestion et aide à la décision","Finances, comptabilité",157
45IAA0,45,6,45I,N,2024,Qtr 4,novembre,6,Régisseur,"Management, gestion et aide à la décision","Finances, comptabilité",34
45L100,45,6,45L,N,2024,Qtr 4,novembre,6,Contrôleur de gestion,"Management, gestion et aide à la décision",Contrôle et organisation,257
45L101,45,6,45L,N,2024,Qtr 4,novembre,6,Contrôleur de gestion RH,"Management, gestion et aide à la décision",Contrôle et organisation,84
45L200,45,6,45L,N,2024,Qtr 4,novembre,6,Conseiller en organisation,"Management, gestion et aide à la décision",Contrôle et organisation,474
